actual,prediction,error,index,hr,workingday,season,weathersit,time_of_day
283,290.0,7.0,0,0,0,1,1,Night
253,283.2,30.19999999999999,1,1,0,1,1,Night
261,284.0,23.0,2,2,0,1,1,Night
306,249.6,56.400000000000006,3,3,0,1,1,Night
445,432.0,13.0,4,4,0,1,1,Night
868,656.8,211.20000000000005,5,5,0,1,2,Morning
814,659.0,155.0,6,6,0,1,1,Morning
610,510.2,99.80000000000001,7,7,0,1,1,Morning
448,426.4,21.600000000000023,8,8,0,1,1,Morning
317,215.8,101.19999999999999,9,9,0,1,1,Morning
224,107.0,117.0,10,10,0,1,1,Morning
138,107.6,30.400000000000006,11,11,0,1,1,Morning
58,65.4,7.400000000000006,12,12,0,1,1,Afternoon
23,50.4,27.4,13,13,0,1,2,Afternoon
6,42.8,36.8,14,14,0,1,2,Afternoon
7,35.2,28.200000000000003,15,15,0,1,2,Afternoon
7,41.2,34.2,16,16,0,1,2,Afternoon
43,44.0,1.0,17,17,0,1,2,Evening
173,136.0,37.0,18,18,0,1,3,Evening
482,503.4,21.399999999999977,19,19,0,1,3,Evening
737,603.0,134.0,20,20,0,1,2,Evening
341,338.8,2.1999999999999886,21,21,0,1,2,Evening
214,231.8,17.80000000000001,22,22,0,1,2,Night
239,201.0,38.0,23,23,0,1,2,Night
280,272.2,7.800000000000011,24,0,0,1,2,Night
313,274.0,39.0,25,1,0,1,2,Night
236,293.0,57.0,26,2,0,1,2,Night
278,319.4,41.39999999999998,27,3,0,1,2,Night
441,397.0,44.0,28,4,0,1,2,Night
858,733.2,124.79999999999995,29,6,0,1,3,Morning
862,709.4,152.60000000000002,30,7,0,1,2,Morning
686,537.2,148.79999999999995,31,8,0,1,3,Morning
500,410.6,89.39999999999998,32,9,0,1,2,Morning
381,334.0,47.0,33,10,0,1,2,Morning
233,167.4,65.6,34,11,0,1,2,Morning
136,159.2,23.19999999999999,35,12,0,1,2,Afternoon
67,120.8,53.8,36,13,0,1,2,Afternoon
28,26.4,1.6000000000000014,37,14,0,1,3,Afternoon
14,19.4,5.399999999999999,38,15,0,1,3,Afternoon
6,15.0,9.0,39,16,0,1,3,Afternoon
10,8.0,2.0,40,17,0,1,1,Evening
41,63.8,22.799999999999997,41,18,0,1,2,Evening
167,150.6,16.400000000000006,42,19,0,1,1,Evening
475,441.4,33.60000000000002,43,20,0,1,1,Evening
698,608.4,89.60000000000002,44,21,0,1,1,Evening
353,378.6,25.600000000000023,45,22,0,1,1,Night
205,187.6,17.400000000000006,46,23,0,1,1,Night
260,199.8,60.19999999999999,47,0,1,1,1,Night
277,298.6,21.600000000000023,48,1,1,1,1,Night
281,296.2,15.199999999999989,49,4,1,1,1,Night
247,265.2,18.19999999999999,50,5,1,1,1,Morning
267,312.2,45.19999999999999,51,6,1,1,1,Morning
417,413.4,3.6000000000000227,52,7,1,1,1,Morning
810,727.2,82.79999999999995,53,8,1,1,1,Morning
811,730.2,80.79999999999995,54,9,1,1,1,Morning
623,701.6,78.60000000000002,55,10,1,1,1,Morning
478,454.4,23.600000000000023,56,11,1,1,1,Morning
336,281.2,54.80000000000001,57,12,1,1,1,Afternoon
259,195.0,64.0,58,13,1,1,1,Afternoon
156,72.4,83.6,59,14,1,1,1,Afternoon
85,77.4,7.599999999999994,60,15,1,1,1,Afternoon
41,34.6,6.399999999999999,61,16,1,1,1,Afternoon
20,70.0,50.0,62,17,1,1,1,Evening
9,20.8,11.8,63,18,1,1,1,Evening
7,55.4,48.4,64,19,1,1,1,Evening
33,94.4,61.400000000000006,65,20,1,1,1,Evening
44,111.8,67.8,66,21,1,1,1,Evening
133,369.6,236.60000000000002,67,22,1,1,1,Night
119,546.4,427.4,68,23,1,1,1,Night
220,368.8,148.8,69,0,1,1,1,Night
193,120.0,73.0,70,1,1,1,1,Night
251,167.4,83.6,71,2,1,1,1,Night
315,307.4,7.600000000000023,72,4,1,1,1,Night
290,347.6,57.60000000000002,73,5,1,1,1,Morning
307,303.4,3.6000000000000227,74,6,1,1,1,Morning
324,262.4,61.60000000000002,75,7,1,1,1,Morning
467,418.8,48.19999999999999,76,8,1,1,1,Morning
730,738.4,8.399999999999977,77,9,1,1,1,Morning
640,600.0,40.0,78,10,1,1,2,Morning
492,529.8,37.799999999999955,79,11,1,1,1,Morning
370,387.4,17.399999999999977,80,12,1,1,1,Afternoon
286,260.0,26.0,81,13,1,1,1,Afternoon
218,90.6,127.4,82,14,1,1,1,Afternoon
192,157.0,35.0,83,15,1,1,1,Afternoon
180,187.6,7.599999999999994,84,16,1,1,1,Afternoon
116,82.4,33.599999999999994,85,17,1,1,1,Evening
85,73.4,11.599999999999994,86,18,1,1,1,Evening
21,44.8,23.799999999999997,87,19,1,1,1,Evening
10,59.8,49.8,88,20,1,1,1,Evening
11,13.0,2.0,89,21,1,1,1,Evening
23,30.8,7.800000000000001,90,22,1,1,1,Night
62,68.8,6.799999999999997,91,23,1,1,1,Night
162,116.0,46.0,92,0,1,1,1,Night
271,138.6,132.4,93,1,1,1,1,Night
407,288.8,118.19999999999999,94,2,1,1,1,Night
499,269.0,230.0,95,4,1,1,1,Night
546,485.4,60.60000000000002,96,5,1,1,1,Morning
569,506.6,62.39999999999998,97,6,1,1,1,Morning
538,484.0,54.0,98,7,1,1,1,Morning
562,480.6,81.39999999999998,99,8,1,1,1,Morning
531,486.4,44.60000000000002,100,9,1,1,1,Morning
512,282.0,230.0,101,10,1,1,1,Morning
300,201.6,98.4,102,11,1,1,1,Morning
275,249.2,25.80000000000001,103,12,1,1,1,Afternoon
160,111.6,48.400000000000006,104,13,1,1,1,Afternoon
128,175.0,47.0,105,14,1,1,1,Afternoon
168,110.4,57.599999999999994,106,15,1,1,1,Afternoon
163,128.6,34.400000000000006,107,16,1,1,1,Afternoon
120,114.0,6.0,108,17,1,1,1,Evening
113,116.2,3.200000000000003,109,18,1,1,1,Evening
86,99.2,13.200000000000003,110,19,1,1,1,Evening
48,63.2,15.200000000000003,111,20,1,1,1,Evening
10,38.8,28.799999999999997,112,21,1,1,1,Evening
10,14.6,4.6,113,22,1,1,1,Night
16,20.8,4.800000000000001,114,23,1,1,1,Night
39,58.6,19.6,115,0,1,1,1,Night
119,105.4,13.599999999999994,116,1,1,1,1,Night
217,214.4,2.5999999999999943,117,2,1,1,1,Night
328,267.4,60.60000000000002,118,4,1,1,2,Night
449,462.6,13.600000000000023,119,5,1,1,2,Morning
505,482.0,23.0,120,6,1,1,2,Morning
543,486.6,56.39999999999998,121,7,1,1,2,Morning
579,458.4,120.60000000000002,122,8,1,1,1,Morning
577,504.4,72.60000000000002,123,9,1,1,2,Morning
513,505.2,7.800000000000011,124,10,1,1,1,Morning
505,331.0,174.0,125,11,1,1,1,Morning
491,365.8,125.19999999999999,126,12,1,1,1,Afternoon
465,368.8,96.19999999999999,127,13,1,1,1,Afternoon
300,304.2,4.199999999999989,128,14,1,1,1,Afternoon
220,226.0,6.0,129,15,1,1,1,Afternoon
181,142.2,38.80000000000001,130,16,1,1,1,Afternoon
110,92.6,17.400000000000006,131,17,1,1,1,Evening
47,73.8,26.799999999999997,132,18,1,1,1,Evening
14,60.2,46.2,133,19,1,1,1,Evening
9,51.4,42.4,134,20,1,1,1,Evening
6,5.4,0.5999999999999996,135,21,1,1,2,Evening
11,47.4,36.4,136,22,1,1,2,Night
36,34.2,1.7999999999999972,137,23,1,1,2,Night
159,137.0,22.0,138,0,1,1,2,Night
436,416.0,20.0,139,1,1,1,2,Night
673,624.4,48.60000000000002,140,2,1,1,2,Night
305,303.0,2.0,141,4,1,1,2,Night
199,187.6,11.400000000000006,142,5,1,1,3,Morning
245,195.4,49.599999999999994,143,6,1,1,2,Morning
276,257.6,18.399999999999977,144,7,1,1,1,Morning
254,304.0,50.0,145,8,1,1,1,Morning
248,300.0,52.0,146,9,1,1,1,Morning
274,260.6,13.399999999999977,147,10,1,1,1,Morning
464,350.2,113.80000000000001,148,11,1,1,2,Morning
818,764.8,53.200000000000045,149,12,1,1,2,Afternoon
812,668.0,144.0,150,13,1,1,2,Afternoon
555,591.2,36.200000000000045,151,14,1,1,2,Afternoon
432,388.8,43.19999999999999,152,15,1,1,2,Afternoon
290,346.8,56.80000000000001,153,16,1,1,2,Afternoon
192,176.8,15.199999999999989,154,17,1,1,2,Evening
128,124.8,3.200000000000003,155,18,1,1,1,Evening
60,52.8,7.200000000000003,156,19,1,1,1,Evening
27,28.2,1.1999999999999993,157,20,1,1,1,Evening
11,52.0,41.0,158,21,1,1,1,Evening
3,77.0,74.0,159,22,1,1,2,Night
5,50.0,45.0,160,23,1,1,2,Night
36,110.2,74.2,161,0,0,1,2,Night
64,182.2,118.19999999999999,162,1,0,1,2,Night
179,508.2,329.2,163,2,0,1,2,Night
618,564.0,54.0,164,3,0,1,3,Night
